# heat_aggregators.txt 
# Generated:  Mon Feb  6 22:15:33 2017 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   superaggregator: TRUE if protein is a superaggregator at 46C
# 
orf	gene	superaggregator
YGR083C	GCD2	FALSE
YGR103W	NOP7	FALSE
YGR123C	PPT1	FALSE
YGR128C	UTP8	FALSE
YGR159C	NSR1	FALSE
YGR162W	TIF4631	FALSE
YGR178C	PBP1	FALSE
YGR187C	HGH1	FALSE
YGR264C	MES1	FALSE
YGR285C	ZUO1	FALSE
YHR027C	RPN1	FALSE
YHR064C	SSZ1	FALSE
YHR114W	BZZ1	FALSE
YIL038C	NOT3	FALSE
YIL078W	THS1	FALSE
YIL126W	STH1	FALSE
YIR004W	DJP1	FALSE
YJL010C	NOP9	FALSE
YJL033W	HCA4	FALSE
YJL080C	SCP160	FALSE
YJL109C	UTP10	FALSE
YJL200C	ACO2	FALSE
YJR070C	LIA1	TRUE
YJR103W	URA8	FALSE
YJR125C	ENT3	FALSE
YKL009W	MRT4	FALSE
YKL014C	URB1	FALSE
YKL029C	MAE1	FALSE
YKL056C	TMA19	FALSE
YKL081W	TEF4	FALSE
YKL126W	YPK1	FALSE
YKL172W	EBP2	FALSE
YKL184W	SPE1	FALSE
YKL191W	DPH2	FALSE
YLL001W	DNM1	FALSE
YLL008W	DRS1	FALSE
YLL021W	SPA2	FALSE
YLR106C	MDN1	FALSE
YLR153C	ACS2	FALSE
YLR180W	SAM1	FALSE
YLR196W	PWP1	FALSE
YLR244C	MAP1	FALSE
YLR248W	RCK2	FALSE
YLR249W	YEF3	FALSE
YLR418C	CDC73	FALSE
YLR449W	FPR4	TRUE
YML074C	FPR3	TRUE
YML110C	COQ5	FALSE
YMR049C	ERB1	FALSE
YMR079W	SEC14	FALSE
YMR109W	MYO5	FALSE
YMR131C	RRB1	FALSE
YMR146C	TIF34	FALSE
YMR229C	RRP5	FALSE
YMR235C	RNA1	FALSE
YMR246W	FAA4	FALSE
YMR290C	HAS1	FALSE
YMR309C	NIP1	FALSE
YNL016W	PUB1	FALSE
YNL061W	NOP2	FALSE
YNL088W	TOP2	FALSE
YNL102W	POL1	FALSE
YNL112W	DBP2	TRUE
YNL118C	DCP2	FALSE
YNL132W	KRE33	FALSE
YNL141W	AAH1	FALSE
YNL175C	NOP13	FALSE
YNL216W	RAP1	FALSE
YNL271C	BNI1	FALSE
YNL281W	HCH1	FALSE
YNL312W	RFA2	FALSE
YNL313C	EMW1	FALSE
YNR016C	ACC1	FALSE
YNR050C	LYS9	FALSE
YNR053C	NOG2	FALSE
YOL041C	NOP12	FALSE
YOL144W	NOP8	TRUE
YOR051C	ETT1	TRUE
YOR117W	RPT5	FALSE
YOR168W	GLN4	FALSE
YOR187W	TUF1	FALSE
YOR197W	MCA1	FALSE
YOR198C	BFR1	FALSE
YOR204W	DED1	TRUE
YOR251C	TUM1	FALSE
YOR326W	MYO2	FALSE
YOR335C	ALA1	FALSE
YOR361C	PRT1	FALSE
YPL012W	RRP12	FALSE
YPL048W	CAM1	FALSE
YPL093W	NOG1	FALSE
YPL190C	NAB3	FALSE
YPL204W	HRR25	FALSE
YPL226W	NEW1	FALSE
YPL239W	YAR1	FALSE
YPR041W	TIF5	FALSE
YPR062W	FCY1	FALSE
YPR108W	RPN7	FALSE
YPR110C	RPC40	FALSE
YPR133C	SPN1	FALSE
YPR163C	TIF3	FALSE
