Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count pellet	Mutation names pellet	Mutated peptide count supernatant	Mutation names supernatant	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pellet	Peptides supernatant	Razor + unique peptides pellet	Razor + unique peptides supernatant	Unique peptides pellet	Unique peptides supernatant	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Q-value	Score	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L pellet	Ratio M/L supernatant	Ratio M/L normalized pellet	Ratio M/L normalized supernatant	Ratio M/L variability [%] pellet	Ratio M/L variability [%] supernatant	Ratio M/L count pellet	Ratio M/L count supernatant	Ratio M/L iso-count pellet	Ratio M/L iso-count supernatant	Ratio M/L type pellet	Ratio M/L type supernatant	Ratio H/L pellet	Ratio H/L supernatant	Ratio H/L normalized pellet	Ratio H/L normalized supernatant	Ratio H/L variability [%] pellet	Ratio H/L variability [%] supernatant	Ratio H/L count pellet	Ratio H/L count supernatant	Ratio H/L iso-count pellet	Ratio H/L iso-count supernatant	Ratio H/L type pellet	Ratio H/L type supernatant	Ratio H/M pellet	Ratio H/M supernatant	Ratio H/M normalized pellet	Ratio H/M normalized supernatant	Ratio H/M variability [%] pellet	Ratio H/M variability [%] supernatant	Ratio H/M count pellet	Ratio H/M count supernatant	Ratio H/M iso-count pellet	Ratio H/M iso-count supernatant	Ratio H/M type pellet	Ratio H/M type supernatant	Sequence coverage pellet [%]	Sequence coverage supernatant [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity pellet	Intensity L pellet	Intensity M pellet	Intensity H pellet	Intensity supernatant	Intensity L supernatant	Intensity M supernatant	Intensity H supernatant	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Skud_13.488_YMR314W	Skud_13.488_YMR314W	5	5	5	0		0		0		Skud_13.488_YMR314W	1	5	5	5	0	5	0	5	0	5	20.1	20.1	20.1	25.649	234	234	8.44								5	4		0	32.937	1.0164	1.1419	15.866	4	0	Leave out requantified	0.91329	1.1412	19.062	4	0	Leave out requantified	0.87849	0.97905	5.6429	4	0	Leave out requantified	NaN	1.0164	NaN	1.1419	NaN	15.866	0	4	0	0	Median	Leave out requantified	NaN	0.91329	NaN	1.1412	NaN	19.062	0	4	0	0	Median	Leave out requantified	NaN	0.87849	NaN	0.97905	NaN	5.6429	0	4	0	0	Median	Leave out requantified	0	20.1	63003000	26513000	24259000	12231000	0	0	0	0	63003000	26513000	24259000	12231000				346	173;198;3805;4772;5769	True;True;True;True;True	185;211;4009;5038;6083	520;593;594;10327;10328;10329;13108;15998;15999	866;1009;1010;1011;1012;1013;1014;15951;15952;15953;20082;24903;24904;24905	866;1011;15952;20082;24905			-1
Skud_13.489_YMR315W	Skud_13.489_YMR315W	3	3	3	0		0		0		Skud_13.489_YMR315W	1	3	3	3	0	3	0	3	0	3	8.6	8.6	8.6	38.26	349	349	6.83						1	5				0	28.334	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	8.6	50502000	16117000	20129000	14256000	0	0	0	0	50502000	16117000	20129000	14256000				347	3208;4730;5944	True;True;True	3344;4988;6267	8755;8756;8757;13002;13003;16519	13394;13395;13396;13397;19899;19900;25775;25776;25777	13397;19899;25777			-1
Skud_13.494_YMR318C	Skud_13.494_YMR318C	1	1	1	0		0		0		Skud_13.494_YMR318C	1	1	1	1	0	1	0	1	0	1	3.1	3.1	3.1	39.604	360	360	7							3				0.0033746	8.0535	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	3.1	13534000	2700000	4907400	5926300	0	0	0	0	13534000	2700000	4907400	5926300				348	380	True	401;402	1102;1103;1104	1788;1789;1790;1791;1792;1793;1794	1791	208	202	-1
Skud_13.51_YML092C	Skud_13.51_YML092C	3	3	3	0		0		0		Skud_13.51_YML092C	1	3	3	3	0	3	0	3	0	3	10	10	10	27.176	250	250	8								7			0	18.187	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	10	34593000	17573000	16716000	304840	0	0	0	0	34593000	17573000	16716000	304840				349	533;534;3613	True;True;True	566;567;3770	1555;1556;1557;1558;1559;1560;9814	2520;2521;2522;2523;2524;2525;15128	2521;2523;15128			-1
Skud_13.57_NA;Skud_13.16_YML124C	Skud_13.57_NA	3;1	3;1	3;1	0		0		0		Skud_13.57_NA	2	3	3	3	0	3	0	3	0	3	5.4	5.4	5.4	49.253	442	442;320	6						4					0	39.41	0.9662	1.0625	1.3348	2	0	Median	0.79704	0.98927	4.8726	2	0	Median	0.86575	0.97568	3.1696	2	0	Median	NaN	0.9662	NaN	1.0625	NaN	1.3348	0	2	0	0	Median	Median	NaN	0.79704	NaN	0.98927	NaN	4.8726	0	2	0	0	Median	Median	NaN	0.86575	NaN	0.97568	NaN	3.1696	0	2	0	0	Median	Median	0	5.4	114810000	48947000	23593000	42272000	0	0	0	0	114810000	48947000	23593000	42272000				350	1033;1137;1782	True;True;True	1090;1198;1867	2868;3082;3083;4758	4620;4621;4622;4623;4987;4988;7535;7536;7537	4623;4987;7536			-1;-1
Skud_13.60_YML081C-A	Skud_13.60_YML081C-A	2	2	2	0		0		0		Skud_13.60_YML081C-A	1	2	2	2	2	0	2	0	2	0	27.1	27.1	27.1	6.6897	59	59	10										2	0.0036496	11.341	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	27.1	0	31621000	15359000	9969800	6292700	31621000	15359000	9969800	6292700	0	0	0	0				351	14;1062	True;True	14;1119	50;2922	56;4698;4699;4700	56;4700			-1
Skud_13.64_YML078W	Skud_13.64_YML078W	2	2	2	0		0		0		Skud_13.64_YML078W	1	2	2	2	2	2	2	2	2	2	12.1	12.1	12.1	19.882	182	182	9.12									7	1	0	22.559	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	12.1	12.1	62875000	28392000	34483000	0	7304100	0	7304100	0	55571000	28392000	27179000	0				352	233;2256	True;True	247;2364	688;689;690;691;6142;6143;6144;6145	1146;1147;1148;1149;1150;9745;9746;9747;9748;9749	1146;9748			-1
Skud_13.67_YLR450W	Skud_13.67_YLR450W	2	2	2	0		0		0		Skud_13.67_YLR450W	1	2	2	2	2	0	2	0	2	0	1.8	1.8	1.8	115.96	1054	1054	4				2							0.0036364	11.328	0.99339	1.0088	41.83	2	0	Median	0.62418	0.66933	30.558	2	0	Median	0.61514	0.65689	14.871	2	0	Median	0.99339	NaN	1.0088	NaN	41.83	NaN	2	0	0	0	Median	Median	0.62418	NaN	0.66933	NaN	30.558	NaN	2	0	0	0	Median	Median	0.61514	NaN	0.65689	NaN	14.871	NaN	2	0	0	0	Median	Median	1.8	0	12115000	3631900	5870100	2613500	12115000	3631900	5870100	2613500	0	0	0	0				353	142;1906	True;True	150;1999	427;5052	655;8048	655;8048			-1
Skud_13.68_YLR449W	Skud_13.68_YLR449W	2	2	2	0		0		0		Skud_13.68_YLR449W	1	2	2	2	1	1	1	1	1	1	5.2	5.2	5.2	45.138	400	400	3.5		1			1						0.001355	12.691	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	2.8	2.5	11928000	6432200	4145100	1350600	7794700	2299000	4145100	1350600	4133100	4133100	0	0				354	793;5730	True;True	836;6044	2210;15904	3607;24756;24757;24758	3607;24756			-1
Skud_13.69_YLR448W	Skud_13.69_YLR448W	12	2	2	0		0		0		Skud_13.69_YLR448W	1	12	2	2	8	11	1	2	1	2	52.8	13.6	13.6	19.981	176	176	8.83								1	5		0	24.566	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	38.6	52.3	265370000	116710000	148660000	0	25854000	0	25854000	0	239510000	116710000	122800000	0				355	336;337;499;1009;1555;2197;2804;4283;5806;5807;5906;6243	False;False;False;False;False;True;False;False;False;False;True;False	354;355;527;1066;1635;2303;2927;4515;6124;6125;6226;6579	982;983;1450;1451;1452;1453;1454;1455;2812;2813;2814;2815;2816;2817;4145;4146;4147;4148;5971;5972;7606;11645;16096;16097;16098;16099;16100;16101;16102;16103;16104;16105;16106;16107;16108;16109;16372;16373;16374;16375;17356;17357;17358	1592;1593;2325;2326;2327;2328;2329;2330;2331;2332;2333;2334;2335;2336;2337;4540;4541;4542;4543;4544;4545;4546;6573;6574;6575;6576;9436;9437;11963;17849;25100;25101;25102;25103;25104;25105;25106;25107;25108;25109;25110;25111;25112;25113;25114;25115;25116;25117;25118;25119;25120;25121;25122;25123;25124;25125;25498;25499;25500;25501;25502;27164;27165;27166	1592;1593;2327;4545;6574;9437;11963;17849;25101;25117;25501;27165			-1
Skud_13.70_YML072C	Skud_13.70_YML072C	1	1	1	0		0		0		Skud_13.70_YML072C	1	1	1	1	1	0	1	0	1	0	0.6	0.6	0.6	169.82	1541	1541	2		1									0.0050302	6.3709	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	0.6	0	4551200	1511000	1727300	1313000	4551200	1511000	1727300	1313000	0	0	0	0				356	5942	True	6265	16517	25770;25771;25772;25773	25770			-1
Skud_13.74_YML070W	Skud_13.74_YML070W	5	5	5	0		0		0		Skud_13.74_YML070W	1	5	5	5	0	5	0	5	0	5	8.9	8.9	8.9	62.008	584	584	5					8						0	42.94	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	8.9	59947000	24405000	28648000	6895000	0	0	0	0	59947000	24405000	28648000	6895000				357	582;2817;4549;4648;5514	True;True;True;True;True	617;2940;4796;4898;5820	1706;1707;7640;7641;12334;12742;12743;15332	2757;2758;11999;12000;18808;19555;19556;23857;23858;23859	2758;11999;18808;19555;23857			-1
Skud_13.75_YML069W	Skud_13.75_YML069W	3	3	3	0		0		0		Skud_13.75_YML069W	1	3	3	3	0	3	0	3	0	3	5.5	5.5	5.5	62.738	549	549	5					3						0	29.37	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	5.5	17688000	5990100	9911300	1786200	0	0	0	0	17688000	5990100	9911300	1786200				358	2567;5694;5904	True;True;True	2686;6007;6224	6993;15817;16365	11082;24631;25488;25489;25490	11082;24631;25489			-1
Skud_13.81_YLR441C	Skud_13.81_YLR441C	18	18	2	0		0		0		Skud_13.81_YLR441C	1	18	18	2	15	17	15	17	1	2	62.7	62.7	10.2	28.787	255	255	8.01						2	10	49	9	3	0	323.31	0.84631	0.87706	8.2244	39	0	Leave out requantified	0.73364	0.87177	21.492	39	0	Leave out requantified	0.88607	0.94236	17.68	39	0	Leave out requantified	0.84264	0.85525	0.88779	0.93928	7.4719	9.604	20	19	0	0	Leave out requantified	Leave out requantified	0.75271	0.721	0.83783	0.88942	9.4085	22.812	20	19	0	0	Leave out requantified	Leave out requantified	0.8986	0.87768	0.96787	0.92981	5.4153	19.293	20	19	0	0	Leave out requantified	Leave out requantified	50.2	59.6	3790200000	1720100000	1360000000	710150000	1663500000	729700000	632340000	301430000	2126700000	990370000	727640000	408720000				359	434;750;1386;1458;2235;2379;2966;2979;3286;3501;3976;4319;5343;5688;5961;5962;5968;5969	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	462;793;1455;1532;1533;2343;2489;3096;3109;3426;3652;4190;4191;4552;5640;6001;6285;6286;6293;6294	1244;1245;1246;1247;1248;1249;1250;2132;2133;2134;3684;3685;3686;3687;3688;3689;3883;3884;3885;6080;6081;6082;6083;6084;6085;6086;6087;6088;6089;6090;6091;6092;6093;6488;6489;6490;8055;8056;8057;8089;8965;8966;9475;9476;9477;9478;9479;9480;10801;10802;11730;11731;14852;14853;14854;14855;14856;14857;14858;15802;15803;15804;16582;16583;16584;16595;16596;16597;16598;16599;16600;16601;16602	2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;3483;3484;3485;3486;3487;3488;3489;3490;5870;5871;5872;5873;5874;5875;5876;6185;6186;6187;9588;9589;9590;9591;9592;9593;9594;9595;9596;9597;9598;9599;9600;9601;9602;9603;9604;9605;9606;9607;9608;9609;9610;9611;9612;9613;9614;9615;9616;9617;9618;9619;9620;9621;9622;9623;9624;9625;9626;9627;10302;10303;10304;10305;10306;10307;10308;10309;12483;12484;12485;12518;13746;13747;14497;14498;14499;14500;14501;14502;14503;16587;16588;17977;17978;22914;22915;22916;22917;22918;22919;22920;22921;22922;22923;22924;22925;22926;22927;22928;22929;22930;22931;22932;22933;22934;22935;22936;24585;24586;24587;24588;24589;25869;25870;25871;25872;25873;25874;25875;25917;25918;25919;25920;25921;25922;25923;25924;25925;25926	2031;3487;5873;6185;9617;10309;12483;12518;13746;14499;16587;17977;22922;24588;25872;25875;25917;25924	184;185	103;229	-1
Skud_13.97_YML052W	Skud_13.97_YML052W	2	2	2	0		0		0		Skud_13.97_YML052W	1	2	2	2	2	0	2	0	2	0	6.3	6.3	6.3	33.712	302	302	7							2				0.0013947	13.015	0.68013	0.70825	3.9675	2	0	Median	0.59826	0.70337	0.72765	2	0	Median	0.84656	0.93868	4.6481	2	0	Median	0.68013	NaN	0.70825	NaN	3.9675	NaN	2	0	0	0	Median	Median	0.59826	NaN	0.70337	NaN	0.72765	NaN	2	0	0	0	Median	Median	0.84656	NaN	0.93868	NaN	4.6481	NaN	2	0	0	0	Median	Median	6.3	0	12802000	5624300	3635200	3542300	12802000	5624300	3635200	3542300	0	0	0	0				360	3059;3809	True;True	3190;4013	8377;10344	12850;15971	12850;15971			-1
Skud_14.100_YNL239W	Skud_14.100_YNL239W	6	6	6	0		0		0		Skud_14.100_YNL239W	1	6	6	6	0	6	0	6	0	6	11.2	11.2	11.2	55.401	483	483	6						8					0	39.736	0.99595	1.0655	14.409	3	0	Leave out requantified	0.75333	0.82616	55.573	3	0	Leave out requantified	0.92526	1.0116	39.533	3	0	Leave out requantified	NaN	0.99595	NaN	1.0655	NaN	14.409	0	3	0	0	Median	Leave out requantified	NaN	0.75333	NaN	0.82616	NaN	55.573	0	3	0	0	Median	Leave out requantified	NaN	0.92526	NaN	1.0116	NaN	39.533	0	3	0	0	Median	Leave out requantified	0	11.2	64642000	23754000	28108000	12780000	0	0	0	0	64642000	23754000	28108000	12780000				361	1057;3359;3429;3491;4129;5595	True;True;True;True;True;True	1114;3500;3576;3641;4359;5905	2914;9130;9285;9442;11282;11283;15576;15577	4689;13983;13984;14218;14455;14456;17316;17317;17318;17319;24247;24248	4689;13983;14218;14456;17317;24247			-1
Skud_14.106_YNL232W	Skud_14.106_YNL232W	2	2	2	0		0		0		Skud_14.106_YNL232W	1	2	2	2	0	2	0	2	0	2	5.8	5.8	5.8	31.362	291	291	7							2				0.0014104	13.414	1.9654	2.136	79.916	2	0	Median	0.46086	0.55121	68.164	2	0	Median	0.24205	0.27066	139.93	2	0	Median	NaN	1.9654	NaN	2.136	NaN	79.916	0	2	0	0	Median	Median	NaN	0.46086	NaN	0.55121	NaN	68.164	0	2	0	0	Median	Median	NaN	0.24205	NaN	0.27066	NaN	139.93	0	2	0	0	Median	Median	0	5.8	22436000	5670100	13765000	3001100	0	0	0	0	22436000	5670100	13765000	3001100				362	1069;3848	True;True	1126;4054	2936;10437	4720;16106;16107	4720;16106			-1
Skud_14.116_YNL220W	Skud_14.116_YNL220W	10	10	10	0		0		0		Skud_14.116_YNL220W	1	10	10	10	0	10	0	10	0	10	17.6	17.6	17.6	48.237	433	433	6						16					0	66.887	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	0	17.6	193970000	136760000	57215000	0	0	0	0	0	193970000	136760000	57215000	0				363	1143;1196;1198;1799;2666;2667;3126;3625;5169;6082	True;True;True;True;True;True;True;True;True;True	1204;1258;1260;1884;2785;2786;3260;3782;5459;6414	3100;3227;3228;3230;4794;4795;7214;7215;7216;8529;8530;9845;14341;14342;16930;16931	5032;5203;5204;5208;7609;7610;11425;11426;11427;13055;13056;15182;22036;22037;26478;26479	5032;5204;5208;7610;11425;11427;13056;15182;22036;26478			-1
Skud_14.127_YDL229W	Skud_14.127_YDL229W	39	10	10	0		0		0		Skud_14.127_YDL229W	1	39	10	10	5	39	1	10	1	10	66.2	21.4	21.4	66.641	613	613	5.19			1		16	3		1			0	323.31	0.83435	0.9542	24.279	10	0	Leave out requantified	0.65568	0.8394	13.095	10	0	Leave out requantified	0.81691	0.9126	3.6692	10	0	Leave out requantified	1.0033	0.83435	1.0091	0.9542	10.77	24.199	2	8	0	0	Median	Leave out requantified	1.9272	0.64388	2.1207	0.82664	10.136	15.558	2	8	0	0	Median	Leave out requantified	1.9269	0.78173	2.1346	0.9126	0.076462	10.95	2	8	0	0	Median	Leave out requantified	9.1	66.2	778260000	341990000	320790000	115490000	11687000	3078100	2942000	5666600	766580000	338910000	317850000	109820000				364	11;12;123;471;573;651;807;1275;1442;1443;1464;2350;2457;2760;2945;3162;3362;3565;3752;3794;3932;4028;4086;4090;4091;4251;4299;4300;4658;4800;4857;4895;4896;4910;5110;5131;5270;5658;5933	False;False;False;False;False;False;True;True;False;False;False;True;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;True;False	11;12;131;499;607;688;852;1343;1514;1515;1539;2460;2569;2881;3074;3296;3504;3718;3932;3995;3996;4146;4250;4312;4316;4317;4482;4532;4533;4908;5068;5129;5168;5169;5184;5394;5417;5565;5968;6255	41;42;43;44;45;386;1370;1371;1372;1689;1690;1873;1874;1875;1876;1877;1878;2247;3396;3848;3849;3850;3851;3852;3902;3903;6384;6733;6734;6735;6736;7477;7478;7994;7995;7996;8621;8622;9134;9135;9136;9626;9627;10150;10151;10152;10153;10297;10298;10299;10300;10301;10302;10303;10304;10667;10962;10963;10964;10965;10966;10967;10968;10969;10970;11134;11135;11146;11147;11148;11149;11150;11151;11152;11153;11532;11533;11688;11689;11690;11691;11692;11693;11694;11695;12793;13168;13169;13170;13171;13172;13173;13174;13175;13176;13382;13383;13384;13385;13386;13387;13388;13389;13390;13391;13392;13393;13394;13395;13396;13397;13398;13509;13510;13511;13512;13513;13514;13515;13559;13560;13561;13562;14134;14183;14184;14185;14186;14187;14188;14642;14643;14644;15723;15724;16483;16484;16485	46;47;48;49;50;572;2222;2223;2224;2720;2721;2722;2723;3016;3017;3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;3031;3032;3033;3034;3035;3036;3037;3662;3663;5442;5443;5444;6132;6133;6134;6135;6136;6208;6209;10119;10120;10121;10732;10733;10734;10735;11826;11827;12419;12420;12421;13182;13183;13988;13989;13990;13991;14752;14753;14754;15687;15688;15689;15690;15691;15911;15912;15913;15914;15915;15916;15917;15918;15919;16414;16803;16804;16805;16806;16807;16808;16809;16810;16811;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;17072;17073;17074;17085;17086;17087;17088;17089;17090;17091;17092;17093;17094;17695;17696;17926;17927;17928;17929;17930;17931;17932;17933;19613;20154;20155;20156;20157;20158;20159;20160;20161;20162;20163;20164;20165;20166;20167;20168;20169;20170;20171;20172;20173;20174;20175;20176;20516;20517;20518;20519;20520;20521;20522;20523;20524;20525;20526;20527;20528;20529;20530;20531;20532;20533;20534;20535;20536;20537;20538;20539;20540;20541;20542;20543;20544;20545;20546;20547;20548;20700;20701;20702;20703;20704;20705;20706;20789;20790;20791;20792;20793;21727;21728;21729;21798;21799;21800;21801;21802;21803;21804;21805;21806;21807;21808;21809;21810;21811;22532;22533;22534;22535;22536;22537;24474;24475;25726;25727;25728;25729;25730	47;50;572;2222;2720;3023;3663;5442;6132;6135;6208;10121;10735;11827;12420;13182;13988;14752;15688;15917;16414;16812;17073;17085;17091;17696;17930;17933;19613;20162;20531;20701;20705;20790;21727;21804;22532;24475;25727	209;210;211;212;213	89;409;470;471;522	-1
Skud_14.128_YNL208W	Skud_14.128_YNL208W	3	3	3	0		0		0		Skud_14.128_YNL208W	1	3	3	3	0	3	0	3	0	3	26.1	26.1	26.1	21.079	207	207	7.6							2	3			0	45.859	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	0	26.1	5466900	2757600	2709300	0	0	0	0	0	5466900	2757600	2709300	0				365	1842;3524;5126	True;True;True	1927;3676;5412	4886;4887;4888;9525;14169	7750;7751;7752;14581;21770	7752;14581;21770			-1
Skud_14.156_YNL178W	Skud_14.156_YNL178W	17	17	17	0		0		0		Skud_14.156_YNL178W	1	17	17	17	11	17	11	17	11	17	68.8	68.8	68.8	26.534	240	240	8.07						1	21	39	11	9	0	323.31	0.87524	0.91176	10.499	37	0	Leave out requantified	0.76121	0.86282	7.6781	37	0	Leave out requantified	0.88546	0.95111	12.509	37	0	Leave out requantified	0.89428	0.86785	0.88784	0.91956	7.4417	9.9518	15	22	0	0	Leave out requantified	Leave out requantified	0.86416	0.73906	0.93267	0.84652	8.9287	7.6635	15	22	0	0	Leave out requantified	Leave out requantified	0.92065	0.85814	0.97518	0.93902	5.8209	13.013	15	22	0	0	Leave out requantified	Leave out requantified	52.1	68.8	3507500000	1584900000	1186500000	736070000	1385900000	592130000	487230000	306500000	2121600000	992740000	699300000	429570000				366	56;977;1177;1415;1672;1852;2545;2557;3352;3619;4285;4325;5324;5325;5934;6045;6245	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	59;1033;1239;1487;1755;1937;1938;2661;2675;3493;3776;4517;4558;5621;5622;6256;6376;6581	154;155;2731;2732;2733;2734;3188;3189;3190;3191;3769;3770;3771;3772;3773;3774;4427;4428;4429;4430;4431;4432;4433;4434;4435;4436;4907;4908;4909;4910;4911;4912;4913;4914;4915;4916;4917;4918;4919;4920;4921;4922;6950;6973;6974;6975;6976;6977;9099;9100;9101;9102;9103;9104;9828;11650;11745;14796;14797;14798;14799;14800;14801;14802;14803;14804;14805;14806;14807;14808;14809;14810;16486;16487;16488;16489;16490;16831;16832;16833;17376	230;231;232;233;234;235;4393;4394;4395;4396;4397;4398;4399;4400;4401;5146;5147;5148;5149;5150;5151;5152;5153;5154;5155;5156;5157;5158;5159;5160;5161;5162;6007;6008;6009;6010;6011;6012;6013;6014;6015;6016;6017;6018;6019;6020;6021;6022;6023;6024;6025;6026;6027;6028;6029;7030;7031;7032;7033;7034;7035;7036;7037;7038;7039;7040;7788;7789;7790;7791;7792;7793;7794;7795;7796;7797;7798;7799;7800;7801;7802;7803;7804;11017;11055;11056;11057;11058;11059;13934;13935;13936;13937;13938;13939;13940;13941;13942;13943;13944;13945;13946;13947;13948;13949;15147;15148;15149;15150;17857;17858;17999;22798;22799;22800;22801;22802;22803;22804;22805;22806;22807;22808;22809;22810;22811;22812;22813;22814;22815;22816;22817;22818;22819;22820;22821;22822;22823;22824;22825;22826;22827;22828;22829;22830;22831;22832;22833;22834;22835;22836;22837;22838;22839;22840;22841;25731;25732;25733;25734;25735;26303;26304;26305;26306;26307;26308;27220	235;4399;5161;6029;7037;7791;11017;11058;13941;15149;17858;17999;22808;22830;25735;26304;27220	214	105	-1
